Name,Age,Occupation,Annual Income (INR),Credit Score (300-850),Lender,Loan Purpose,Approved Loan Amount (INR),Months of Payment,Interest Rate (%),Monthly EMI (INR),DTI Ratio,Loan Status (Pass/Rejected)
Person 0110,33,Software Engineer,3026298,799,ICICI Bank,Debt Consolidation,682057,60,12.11,15210,0.06,Pass
Person 0111,29,Retail Manager,1672500,850,Bajaj Finserv,Medical Emergency,601327,24,5.7,26570,0.191,Pass
Person 0112,36,Software Engineer,723988,842,Axis Bank,Debt Consolidation,770986,60,5.43,14702,0.244,Pass
Person 0113,19,University Student,23554,841,ICICI Bank,Consumer Durable/Tech,400945,12,5.96,34501,17.577,Rejected
Person 0114,18,University Student,88879,813,Bajaj Finserv,Vehicle Purchase,1020202,60,4.01,18793,2.537,Rejected
Person 0115,37,Construction Worker,239355,814,ICICI Bank,Education (Tuition/Fees),794232,72,2.94,12046,0.604,Rejected
Person 0116,24,University Student,0,834,ICICI Bank,Vehicle Purchase,684400,48,6.97,16379,16379.286,Rejected
Person 0117,24,University Student,61756,816,State Bank of India,Vehicle Purchase,470142,36,4.67,14021,2.724,Rejected
Person 0118,29,Software Engineer,1111160,838,HDFC Bank,Debt Consolidation,935598,72,8.77,16758,0.181,Pass
Person 0119,20,University Student,0,786,Kotak Mahindra Bank,Consumer Durable/Tech,645747,24,9.19,29557,29557.11,Rejected
Person 0120,33,Freelance Designer,805434,820,ICICI Bank,Home Renovation,1266986,60,8.61,26061,0.388,Pass
Person 0121,23,University Student,36643,850,ICICI Bank,Vehicle Purchase,953078,60,4.26,17664,5.785,Rejected
Person 0122,20,University Student,72017,838,ICICI Bank,Consumer Durable/Tech,1371592,36,6.36,41951,6.99,Rejected
Person 0123,24,Retail Manager,1784108,833,HDFC Bank,Medical Emergency,844147,24,3.15,36338,0.244,Pass
Person 0124,25,Software Engineer,2901744,850,Bajaj Finserv,Debt Consolidation,1170399,72,6.3,19563,0.081,Pass
Person 0125,32,Doctor,3226963,783,Axis Bank,Debt Consolidation,945329,72,11.9,18432,0.069,Pass
Person 0126,29,High School Teacher,830780,813,State Bank of India,Medical Emergency,688274,24,6.69,30719,0.444,Pass
Person 0127,24,University Student,23951,821,HDFC Bank,Vehicle Purchase,859013,48,5.06,19806,9.923,Rejected
Person 0128,23,University Student,0,847,Bajaj Finserv,Vehicle Purchase,602499,36,4.69,17974,17973.697,Rejected
Person 0129,27,Software Engineer,2616029,847,ICICI Bank,Debt Consolidation,1651173,72,8.01,28958,0.133,Pass
Person 0130,22,Freelance Designer,1021045,812,Bajaj Finserv,Home Renovation,777203,48,4.9,17863,0.21,Pass
Person 0131,29,High School Teacher,226051,849,HDFC Bank,Medical Emergency,812342,24,8.35,36870,1.957,Rejected
Person 0132,52,Doctor,1100363,821,HDFC Bank,Debt Consolidation,921723,72,8.33,16310,0.178,Pass
Person 0133,38,Software Engineer,1509494,850,HDFC Bank,Debt Consolidation,551862,48,9.32,13817,0.11,Pass
Person 0134,28,Retail Manager,1677936,809,Axis Bank,Medical Emergency,1273744,36,5.22,38301,0.274,Pass
Person 0135,20,University Student,92305,827,Kotak Mahindra Bank,Consumer Durable/Tech,563756,12,6.13,48554,6.312,Rejected
Person 0136,30,Retail Manager,1192121,820,State Bank of India,Medical Emergency,521228,12,5.81,44815,0.451,Rejected
Person 0137,36,Freelance Designer,692043,850,Axis Bank,Home Renovation,759723,48,4.99,17492,0.303,Pass
Person 0138,74,Retired (Pension),151361,819,Axis Bank,Wedding Expenses,516183,24,5.76,22822,1.809,Rejected
Person 0139,47,Retail Manager,1682544,829,Kotak Mahindra Bank,Medical Emergency,1384657,36,5.0,41499,0.296,Pass
Person 0140,54,CEO,38829315,840,Axis Bank,Travel/Vacation,742965,18,5.45,43080,0.013,Pass
Person 0141,57,CEO,47896064,840,HDFC Bank,Travel/Vacation,262912,12,9.47,23049,0.006,Pass
Person 0142,40,Retail Manager,2184878,847,HDFC Bank,Medical Emergency,862798,36,7.28,26751,0.147,Pass
Person 0143,31,High School Teacher,522295,834,Bajaj Finserv,Home Renovation,975513,60,6.66,19160,0.44,Pass
Person 0144,38,Retail Manager,1779454,821,ICICI Bank,Medical Emergency,695302,24,5.8,30754,0.207,Pass
Person 0145,41,Retail Manager,1984794,823,Axis Bank,Medical Emergency,502668,12,5.09,43053,0.26,Pass
Person 0146,28,Software Engineer,2483521,830,ICICI Bank,Debt Consolidation,776572,60,8.48,15925,0.077,Pass
Person 0147,26,Construction Worker,420346,834,State Bank of India,Education (Tuition/Fees),680976,60,6.26,13248,0.378,Pass
Person 0148,44,Freelance Designer,435437,827,HDFC Bank,Home Renovation,573577,36,3.94,16919,0.466,Pass
Person 0149,31,Software Engineer,2072972,830,Bajaj Finserv,Debt Consolidation,556277,48,7.21,13375,0.077,Pass
Person 0150,34,Retail Manager,1505195,799,State Bank of India,Medical Emergency,849823,24,10.76,39514,0.315,Pass
Person 0151,24,University Student,44826,843,Bajaj Finserv,Consumer Durable/Tech,1101472,36,5.28,33151,8.875,Rejected
Person 0152,40,Doctor,1724684,833,Kotak Mahindra Bank,Debt Consolidation,944879,72,5.95,15637,0.109,Pass
Person 0153,28,Software Engineer,3000219,850,HDFC Bank,Debt Consolidation,441670,48,7.29,10636,0.043,Pass
Person 0154,37,High School Teacher,638084,830,State Bank of India,Home Renovation,996776,60,4.21,18452,0.347,Pass
Person 0155,51,CEO,43837173,795,Kotak Mahindra Bank,Travel/Vacation,1052638,24,11.32,49218,0.013,Pass
Person 0156,48,Doctor,2432590,822,State Bank of India,Debt Consolidation,1306090,72,8.82,23426,0.116,Pass
Person 0157,43,Construction Worker,324364,826,Bajaj Finserv,Education (Tuition/Fees),578712,60,5.72,11113,0.411,Pass
Person 0158,21,University Student,25521,844,Kotak Mahindra Bank,Wedding Expenses,789276,36,7.14,24421,11.483,Rejected
Person 0159,31,Doctor,81634,788,Kotak Mahindra Bank,Debt Consolidation,980288,72,9.83,18077,2.657,Rejected
Person 0160,69,Retired (Pension),220331,830,HDFC Bank,Wedding Expenses,670164,36,7.31,20788,1.132,Rejected
Person 0161,34,Retail Manager,1899960,840,ICICI Bank,Medical Emergency,974972,36,3.8,28698,0.181,Pass
Person 0162,46,Construction Worker,257774,816,Bajaj Finserv,Education (Tuition/Fees),798286,72,1.75,11688,0.544,Pass
Person 0163,42,Construction Worker,335342,831,Bajaj Finserv,Education (Tuition/Fees),599886,60,1.79,10460,0.374,Pass
Person 0164,27,Freelance Designer,651079,817,Kotak Mahindra Bank,Home Renovation,617906,48,1.54,13282,0.245,Pass
Person 0165,36,Software Engineer,1859607,815,Kotak Mahindra Bank,Debt Consolidation,1242209,72,6.34,20787,0.134,Pass
Person 0166,21,University Student,52094,821,HDFC Bank,Vehicle Purchase,569432,36,4.49,16936,3.901,Rejected
Person 0167,41,Retail Manager,1711707,815,ICICI Bank,Medical Emergency,536546,12,4.58,45829,0.321,Pass
Person 0168,35,Software Engineer,2620505,843,Bajaj Finserv,Debt Consolidation,907217,72,8.4,16084,0.074,Pass
Person 0169,31,Software Engineer,3913609,815,Axis Bank,Debt Consolidation,796484,60,6.07,15424,0.047,Pass
Person 0170,22,Freelance Designer,476529,811,Axis Bank,Home Renovation,510416,36,3.13,14873,0.375,Pass
Person 0171,22,Construction Worker,291845,850,ICICI Bank,Education (Tuition/Fees),672056,60,4.79,12618,0.519,Pass
Person 0172,44,Software Engineer,2278479,849,State Bank of India,Debt Consolidation,606103,60,11.4,13299,0.07,Pass
Person 0173,34,Freelance Designer,497446,792,HDFC Bank,Home Renovation,644125,48,6.45,15261,0.368,Pass
Person 0174,38,Doctor,0,814,ICICI Bank,Debt Consolidation,1934627,72,7.49,33441,33440.551,Rejected
Person 0175,24,Construction Worker,568714,834,Axis Bank,Education (Tuition/Fees),724674,72,6.33,12123,0.256,Pass
Person 0176,31,Software Engineer,1839462,836,Kotak Mahindra Bank,Debt Consolidation,592678,60,6.32,11547,0.075,Pass
Person 0177,27,Construction Worker,488163,800,Axis Bank,Education (Tuition/Fees),1624503,84,6.03,23755,0.584,Rejected
Person 0178,29,Retail Manager,1219635,850,Kotak Mahindra Bank,Medical Emergency,1095796,36,6.67,33670,0.331,Pass
Person 0179,20,University Student,181833,846,HDFC Bank,Consumer Durable/Tech,1035339,36,4.34,30724,2.028,Rejected
Person 0180,33,Software Engineer,2377957,839,Kotak Mahindra Bank,Debt Consolidation,602679,60,5.18,11423,0.058,Pass
Person 0181,26,Retail Manager,1727408,850,ICICI Bank,Medical Emergency,1217521,36,6.68,37416,0.26,Pass
Person 0182,25,Software Engineer,1507775,839,Kotak Mahindra Bank,Debt Consolidation,1068766,72,7.95,18713,0.149,Pass
Person 0183,20,University Student,107675,838,State Bank of India,Consumer Durable/Tech,847120,24,7.22,38012,4.236,Rejected
Person 0184,19,University Student,108128,850,ICICI Bank,Vehicle Purchase,443472,36,6.3,13552,1.504,Rejected
Person 0185,33,Retail Manager,1203321,850,HDFC Bank,Medical Emergency,799367,24,3.25,34446,0.344,Pass
Person 0186,45,Construction Worker,399202,813,ICICI Bank,Education (Tuition/Fees),1467909,84,3.99,20058,0.603,Rejected
Person 0187,24,University Student,71777,842,State Bank of India,Vehicle Purchase,869014,60,4.73,16292,2.724,Rejected
Person 0188,48,Freelance Designer,656644,816,HDFC Bank,Home Renovation,706294,48,5.14,16310,0.298,Pass
Person 0189,43,Freelance Designer,462274,840,Axis Bank,Home Renovation,743505,48,3.4,16589,0.431,Pass
Person 0190,53,Doctor,0,839,State Bank of India,Debt Consolidation,761615,60,3.8,13958,13957.665,Rejected
Person 0191,33,Software Engineer,3710374,802,HDFC Bank,Debt Consolidation,609797,60,7.65,12263,0.04,Pass
Person 0192,21,University Student,58324,827,Kotak Mahindra Bank,Consumer Durable/Tech,793511,24,4.44,34614,7.122,Rejected
Person 0193,18,University Student,0,835,ICICI Bank,Consumer Durable/Tech,1328524,36,8.97,42228,42228.161,Rejected
Person 0194,38,Construction Worker,547994,821,HDFC Bank,Education (Tuition/Fees),1277258,84,2.86,16796,0.368,Pass
Person 0195,47,Retail Manager,1346847,836,ICICI Bank,Medical Emergency,619438,24,3.16,26668,0.238,Pass
Person 0196,41,Retail Manager,1675731,846,Kotak Mahindra Bank,Medical Emergency,1253742,36,4.51,37301,0.267,Pass
Person 0197,71,Retired (Pension),191368,829,HDFC Bank,Wedding Expenses,1048494,48,5.56,24413,1.531,Rejected
Person 0198,23,University Student,16050,834,Axis Bank,Consumer Durable/Tech,1002993,36,4.96,30043,22.462,Rejected
Person 0199,24,University Student,25971,850,State Bank of India,Consumer Durable/Tech,935238,36,4.08,27645,12.774,Rejected
Person 0200,19,University Student,0,839,HDFC Bank,Wedding Expenses,582677,24,3.97,25295,25294.924,Rejected
Person 0201,24,Construction Worker,407736,834,Kotak Mahindra Bank,Education (Tuition/Fees),699176,60,4.9,13162,0.387,Pass
Person 0202,41,Software Engineer,1944056,810,HDFC Bank,Debt Consolidation,1074983,72,9.2,19484,0.12,Pass
Person 0203,29,Software Engineer,1581653,843,ICICI Bank,Debt Consolidation,529338,48,7.6,12824,0.097,Pass
Person 0204,18,University Student,0,836,Bajaj Finserv,Consumer Durable/Tech,560782,12,9.11,49070,49069.824,Rejected
Person 0205,45,Construction Worker,313871,850,HDFC Bank,Education (Tuition/Fees),895234,72,6.43,15019,0.574,Rejected
Person 0206,41,Software Engineer,1131448,830,Axis Bank,Debt Consolidation,611869,60,8.05,12421,0.132,Pass
Person 0207,41,Software Engineer,2677776,793,HDFC Bank,Debt Consolidation,1071649,72,14.75,22515,0.101,Pass
Person 0208,23,Construction Worker,552312,795,State Bank of India,Education (Tuition/Fees),619438,60,5.69,11886,0.258,Pass
Person 0209,26,Software Engineer,2493749,844,HDFC Bank,Debt Consolidation,876222,72,10.18,16312,0.078,Pass
Person 0210,29,Software Engineer,1402116,818,Bajaj Finserv,Debt Consolidation,902081,72,9.3,16395,0.14,Pass
Person 0211,22,Freelance Designer,607611,838,ICICI Bank,Home Renovation,680886,48,4.61,15560,0.307,Pass
Person 0212,22,Construction Worker,453891,832,HDFC Bank,Education (Tuition/Fees),740622,72,2.99,11249,0.297,Pass
Person 0213,40,Construction Worker,296275,826,Axis Bank,Education (Tuition/Fees),635656,60,3.66,11609,0.47,Pass
Person 0214,31,Doctor,2762584,828,Kotak Mahindra Bank,Debt Consolidation,799728,60,5.0,15092,0.066,Pass
Person 0215,80,Retired (Pension),231933,812,HDFC Bank,Wedding Expenses,576370,24,6.05,25558,1.322,Rejected
Person 0216,41,Doctor,948141,829,HDFC Bank,Debt Consolidation,744857,60,8.38,15239,0.193,Pass
Person 0217,47,Retail Manager,1718897,818,State Bank of India,Medical Emergency,1043899,36,5.11,31338,0.219,Pass
Person 0218,65,Retired (Pension),196821,822,Axis Bank,Wedding Expenses,542402,24,5.82,23996,1.463,Rejected
Person 0219,44,Construction Worker,380966,823,Bajaj Finserv,Education (Tuition/Fees),679714,60,4.49,12669,0.399,Pass
Person 0220,21,University Student,0,825,Kotak Mahindra Bank,Vehicle Purchase,963710,60,3.47,17519,17518.622,Rejected
Person 0221,44,Construction Worker,312438,848,ICICI Bank,Education (Tuition/Fees),391214,48,4.08,8847,0.34,Pass
Person 0222,32,Freelance Designer,131915,827,HDFC Bank,Home Renovation,1533322,60,3.86,28142,2.56,Rejected
Person 0223,41,Software Engineer,2261161,850,Bajaj Finserv,Debt Consolidation,1157244,72,7.35,19925,0.106,Pass
Person 0224,27,Retail Manager,1124307,850,Kotak Mahindra Bank,Medical Emergency,471764,12,4.57,40294,0.43,Pass
Person 0225,45,Retail Manager,2021594,847,ICICI Bank,Medical Emergency,387610,12,5.11,33202,0.197,Pass
Person 0226,34,Doctor,4058199,840,Bajaj Finserv,Debt Consolidation,813243,60,13.16,18570,0.055,Pass
Person 0227,64,CEO,37652628,836,Axis Bank,Travel/Vacation,545465,12,8.21,47502,0.015,Pass
Person 0228,23,Retail Manager,1828802,847,Axis Bank,Medical Emergency,1124088,36,3.88,33128,0.217,Pass
Person 0229,23,University Student,48083,831,Kotak Mahindra Bank,Consumer Durable/Tech,922984,36,5.46,27854,6.951,Rejected
Person 0230,43,Construction Worker,261720,849,ICICI Bank,Education (Tuition/Fees),840182,72,5.36,13672,0.627,Rejected
Person 0231,20,University Student,90938,842,Axis Bank,Wedding Expenses,660343,36,6.98,20383,2.69,Rejected
Person 0232,37,Freelance Designer,763988,822,Kotak Mahindra Bank,Home Renovation,1403127,60,4.39,26088,0.41,Pass
Person 0233,37,Freelance Designer,700361,847,Axis Bank,Home Renovation,1045701,60,4.16,19334,0.331,Pass
Person 0234,25,High School Teacher,689843,831,Axis Bank,Home Renovation,992542,60,2.74,17720,0.308,Pass
Person 0235,33,Software Engineer,593155,827,Bajaj Finserv,Debt Consolidation,1221125,72,7.93,21369,0.432,Rejected
Person 0236,65,Retired (Pension),127453,820,Bajaj Finserv,Wedding Expenses,565017,24,6.08,25062,2.36,Rejected
